#efficiency name: HFElectronId-EtaDet
#dimension: 1
#XMin  XMax  EtaMin  EtaMax  PUMin  PUMax  NumParms  eff       systp     systm     den      phistar
20     30    3.1     4.6     0      5      5         0.632973  0.638234  0.627712  615.727  0
30     35    3.1     4.6     0      5      5         0.725359  0.727715  0.723002  431.771  0
35     40    3.1     4.6     0      5      5         0.832212  0.833219  0.831206  302.504  0
40     45    3.1     4.6     0      5      5         0.800701  0.803674  0.797728  175.072  0
45     50    3.1     4.6     0      5      5         0.78427   0.784755  0.783785  112.523  0
50     500   3.1     4.6     0      5      5         0.934539  0.936401  0.932677  96.0182  0
20     30    3.1     4.6     5      102    5         0.543902  0.544487  0.543318  809.531  0
30     35    3.1     4.6     5      102    5         0.611518  0.611931  0.611106  453.549  0
35     40    3.1     4.6     5      102    5         0.6448    0.648379  0.641221  360.142  0
40     45    3.1     4.6     5      102    5         0.725546  0.727577  0.723516  229.23   0
45     50    3.1     4.6     5      102    5         0.80572   0.809242  0.802198  106.487  0
50     500   3.1     4.6     5      102    5         0.810225  0.818155  0.802296  124.105  0
20     30    -4.6    -3.1    0      5      5         0.642812  0.642962  0.642663  705.701  0
30     35    -4.6    -3.1    0      5      5         0.718549  0.718752  0.718345  383.191  0
35     40    -4.6    -3.1    0      5      5         0.794205  0.797603  0.790808  297.133  0
40     45    -4.6    -3.1    0      5      5         0.796406  0.796774  0.796038  200.048  0
45     50    -4.6    -3.1    0      5      5         0.837421  0.838138  0.836704  101.999  0
50     500   -4.6    -3.1    0      5      5         0.924708  0.936185  0.91323   54.0087  0
20     30    -4.6    -3.1    5      102    5         0.510454  0.510783  0.510125  892.198  0
30     35    -4.6    -3.1    5      102    5         0.615451  0.616804  0.614098  461.477  0
35     40    -4.6    -3.1    5      102    5         0.63628   0.63864   0.633921  402.195  0
40     45    -4.6    -3.1    5      102    5         0.717644  0.722117  0.71317   234.746  0
45     50    -4.6    -3.1    5      102    5         0.683547  0.689674  0.677421  133.611  0
50     500   -4.6    -3.1    5      102    5         0.755562  0.756099  0.755025  102.54   0
# Output directory:  /export/scratch/tmp/gsf_gsf_mc_run_as_data_eNBEzR
